function,max_iter,seed,min_fx,max_fx,avg_fx,std_fx
Csendes,50,30,3.806763484383738e-15,3.983781654485129e-09,4.804808158101442e-10,9.890999442291573e-10
Csendes,75,30,9.611766342817682e-16,8.03712063507465e-11,8.520661378562671e-12,1.6717741226178983e-11
Csendes,100,30,3.34590066836015e-20,1.1300564278648662e-10,4.2961539766191046e-12,2.022448831660142e-11
Csendes,150,30,9.593514755856771e-20,2.4975707314250597e-13,1.711363825634793e-14,4.75452338667479e-14
Csendes,200,30,2.1870203889680558e-20,6.692907057298222e-14,4.490293332373448e-15,1.278672055288061e-14
Csendes,250,30,6.4466663865739355e-21,1.0221477574475497e-14,7.47217215427008e-16,1.919373472936629e-15
Csendes,500,30,3.7917887321178974e-23,2.5175164500484466e-17,3.0926773431689253e-18,6.299123154605879e-18
Csendes,1000,30,3.7726983078480857e-25,1.6582722851231046e-19,1.512926400361348e-20,4.0184894166185796e-20
