function,max_iter,seed,min_fx,max_fx,avg_fx,std_fx
McCourt01,50,30,-0.1,0.6,0.043333333333333335,0.14985177861992682
McCourt01,75,30,-0.1,0.1,-0.026666666666666665,0.057348835113617505
McCourt01,100,30,-0.1,0.0,-0.07333333333333335,0.04422166387140534
McCourt01,150,30,-0.1,-0.1,-0.10000000000000003,2.7755575615628914e-17
McCourt01,200,30,-0.1,0.0,-0.09333333333333335,0.024944382578492942
McCourt01,250,30,-0.1,-0.1,-0.10000000000000003,2.7755575615628914e-17
McCourt01,500,30,-0.1,-0.1,-0.10000000000000003,2.7755575615628914e-17
McCourt01,1000,30,-0.1,-0.1,-0.10000000000000003,2.7755575615628914e-17
