function,max_iter,seed,min_fx,max_fx,avg_fx,std_fx
McCourt28,50,30,-7.689337480962694,-7.251246312904945,-7.608493414207393,0.1105349391896968
McCourt28,75,30,-7.693244497411519,-7.588360598423868,-7.680442195479103,0.020154396169618123
McCourt28,100,30,-7.694033271775422,-7.676104098735858,-7.689699412607556,0.00417900490263351
McCourt28,150,30,-7.694310189572506,-7.686143465223259,-7.692617179017284,0.001564244063542965
McCourt28,200,30,-7.694245539590421,-7.690988592855581,-7.69359040455774,0.0006997085145191447
McCourt28,250,30,-7.694320766495518,-7.693616094572667,-7.694045241040099,0.00019475567844254833
McCourt28,500,30,-7.694318474686448,-7.694149659366451,-7.694268319740268,3.8278724235075674e-05
McCourt28,1000,30,-7.694324279089997,-7.694300935145617,-7.694316569344439,6.52966077292004e-06
