function,max_iter,seed,min_fx,max_fx,avg_fx,std_fx
Sargan,50,30,-89.9977277744795,-2.525155951162565,-47.46347953313606,24.13036581809146
Sargan,75,30,-90.5097429044337,-4.133641371734337,-65.95812845161004,18.70039098341239
Sargan,100,30,-97.86270146598277,-17.54531561771215,-71.40335740773065,16.610671878461492
Sargan,150,30,-99.40733972464037,-52.888409213994045,-82.06662909694091,12.390565894777572
Sargan,200,30,-99.60077606043458,-48.58285102179209,-84.05934298035285,11.87055212586797
Sargan,250,30,-99.49646244983995,-66.75844924448327,-86.94041471943459,10.360455882602112
Sargan,500,30,-99.69499512524933,-79.11246687357664,-88.80413716673601,9.927708242296712
Sargan,1000,30,-99.94160641909735,-79.47755187653117,-89.1264819287655,9.947502974104053
