function,max_iter,seed,min_fx,max_fx,avg_fx,std_fx
Michalewicz,50,30,-5.3851568753657215,-2.2408944846211547,-3.412983745940397,0.8215756827157064
Michalewicz,75,30,-4.760019974820323,-2.768078473796412,-3.7180545001363696,0.5222666419081011
Michalewicz,100,30,-5.498837288833485,-2.930597081994647,-4.081877072842518,0.7097670902176778
Michalewicz,150,30,-6.578099993005132,-3.593771093096726,-5.127081802864183,0.7482268217071145
Michalewicz,200,30,-6.8337695520653075,-4.12781851872917,-5.341237095454527,0.5915894375530222
Michalewicz,250,30,-6.914149430502395,-4.216201861012584,-5.8571214081257965,0.7316183910097602
Michalewicz,500,30,-7.441788695877726,-5.132889092396325,-6.560909701857609,0.527287096942507
Michalewicz,1000,30,-7.604029002918004,-6.084141672031401,-7.174186100936498,0.2937694787895761
