function,max_iter,seed,min_fx,max_fx,avg_fx,std_fx
OddSquare,50,30,-1.0064959266124271,-0.021325015735966193,-0.56894274451816,0.30912424612851896
OddSquare,75,30,-1.0079567971097083,-0.15092456203932492,-0.7883101162726744,0.24805157272991027
OddSquare,100,30,-1.0073755448504416,-0.47016339580522964,-0.8575191724735978,0.18737080332108227
OddSquare,150,30,-1.0079081507729277,-0.5320934699512457,-0.9446696104886583,0.1263956018935788
OddSquare,200,30,-1.0079579887135273,-0.7375655734526003,-0.9881550788700366,0.06651662363987881
OddSquare,250,30,-1.0082417194431146,-0.7365059121546456,-0.989067611821736,0.06704511841174553
OddSquare,500,30,-1.008446543173793,-1.0062042768118868,-1.007696668986606,0.0005948753790676251
OddSquare,1000,30,-1.008460552022163,-1.0074971939494448,-1.008211026589722,0.00020940269682180726
