function,max_iter,seed,min_fx,max_fx,avg_fx,std_fx
McCourt12,50,30,3.5722241059388224,4.220970765932934,3.7215506403794847,0.1482763524127736
McCourt12,75,30,3.5495456537842895,3.7066840339800757,3.595867644462045,0.04213756995751369
McCourt12,100,30,3.5458821583740963,3.6692241324974986,3.574873499760304,0.029303915043077323
McCourt12,150,30,3.544163904131864,3.571765135900463,3.552995387728534,0.007763727439403477
McCourt12,200,30,3.5432819499219668,3.5648341585478223,3.547512266070595,0.004489223544958998
McCourt12,250,30,3.5429722663910903,3.559714449921814,3.545187743862752,0.0029643776338817767
McCourt12,500,30,3.5428590922569048,3.5443085362988063,3.543214934986752,0.00033304472706430097
McCourt12,1000,30,3.5427858431030232,3.5430749006062934,3.542869729064902,6.306555044192543e-05
