function,max_iter,seed,min_fx,max_fx,avg_fx,std_fx
DeflectedCorrugatedSpring,50,30,-0.8433387628320023,-0.3666832652041011,-0.6343712236430185,0.23090678509627566
DeflectedCorrugatedSpring,75,30,-0.843331023465948,-0.3696173348514874,-0.6850305238904962,0.22072566659491608
DeflectedCorrugatedSpring,100,30,-0.8433398536767833,-0.3654044633415674,-0.7173263490412803,0.20812669794471111
DeflectedCorrugatedSpring,150,30,-0.8433396920099705,-0.3731152272341418,-0.8116954016477466,0.11718739337566444
DeflectedCorrugatedSpring,200,30,-0.8433398236231338,-0.8426837879838628,-0.8432533298905154,0.00014835768556939054
DeflectedCorrugatedSpring,250,30,-0.8433398690823563,-0.8422578788995414,-0.8432369962328133,0.0002499169411169186
DeflectedCorrugatedSpring,500,30,-0.8433398547254561,-0.8432872019121362,-0.843328913033266,1.6745255120297707e-05
DeflectedCorrugatedSpring,1000,30,-0.9996774213448083,-0.8433325966505483,-0.8485499700023345,0.02806366323474606
