function,max_iter,seed,min_fx,max_fx,avg_fx,std_fx
McCourt26,50,30,-1.4267808541399292,-0.5682544299978848,-1.1432936730210759,0.2340325729722319
McCourt26,75,30,-1.4378904367149201,-0.5682544299978848,-1.1772680885995463,0.2219031041255483
McCourt26,100,30,-1.4378904367149201,-0.7654354762046586,-1.2612877706769774,0.16148015219567113
McCourt26,150,30,-1.4378904367149201,-1.0913794577100642,-1.3165071086684186,0.10031420080800221
McCourt26,200,30,-1.4485505062780266,-1.0913794577100642,-1.3473378738060562,0.08083543018324413
McCourt26,250,30,-1.4578011157500734,-1.0913794577100642,-1.353605689265062,0.08313085547508374
McCourt26,500,30,-1.482345140236927,-1.2420312549772685,-1.3921898042040999,0.054066369440725126
McCourt26,1000,30,-1.4843028987029325,-1.3492010792749753,-1.4253368747327158,0.0342956163365527
