function,max_iter,seed,min_fx,max_fx,avg_fx,std_fx
Ackley,50,30,5.0,15.0,11.066666666666666,2.8394052585395806
Ackley,75,30,5.0,15.0,9.966666666666667,2.6518337470931734
Ackley,100,30,3.0,14.0,9.066666666666666,2.6574841903993
Ackley,150,30,3.0,12.0,8.0,2.3380903889000244
Ackley,200,30,3.0,12.0,7.766666666666667,2.1084486134491294
Ackley,250,30,3.0,12.0,7.1,2.3853720883753127
Ackley,500,30,3.0,10.0,6.233333333333333,1.7829438827088437
Ackley,1000,30,3.0,8.0,5.333333333333333,1.4220486005134363
