function,max_iter,seed,min_fx,max_fx,avg_fx,std_fx
Pinter,50,30,0.0,15.868145632371135,3.6696273051324004,5.296880967952579
Pinter,75,30,0.0,11.603163141032425,1.7903798186055426,3.0358878905691244
Pinter,100,30,0.0,3.3894520306779357,1.0168356092033808,1.553242049500342
Pinter,150,30,0.0,3.3894520306779357,0.564908671779656,1.263174191178428
Pinter,200,30,0.0,3.3894520306779357,0.3389452030677936,1.0168356092033806
Pinter,250,30,0.0,3.3894520306779357,0.22596346871186238,0.8454778818468023
Pinter,500,30,0.0,0.0,0.0,0.0
Pinter,1000,30,0.0,0.0,0.0,0.0
