function,max_iter,seed,min_fx,max_fx,avg_fx,std_fx
McCourt03,50,30,-2.6905960199408265,-1.9289157775659378,-2.2678284075857738,0.19729936526774253
McCourt03,75,30,-2.8377339783123667,-2.070520808215649,-2.3899266749472825,0.19869963415183528
McCourt03,100,30,-2.8377339783123667,-2.097134688975284,-2.426705798047337,0.1738515448146766
McCourt03,150,30,-2.8377339783123667,-2.171638878207509,-2.4620788698026668,0.16652589238788457
McCourt03,200,30,-2.8377339783123667,-2.171638878207509,-2.488262872051528,0.16761014183160222
McCourt03,250,30,-2.8377339783123667,-2.274282169501905,-2.5385668685034353,0.15800666731965343
McCourt03,500,30,-2.8747566759425904,-2.4412174145913514,-2.62969835220168,0.1141903204173029
McCourt03,1000,30,-2.8747566759425904,-2.4943210699124707,-2.702051596210973,0.08118094012349919
