function,max_iter,seed,min_fx,max_fx,avg_fx,std_fx
McCourt20,50,30,-6.499013590036378,-2.3076537281417604,-4.178541811234408,1.1020129498125355
McCourt20,75,30,-6.499013590036378,-3.228469847015525,-4.718028762015945,0.888778791347293
McCourt20,100,30,-6.499013590036378,-3.337940394092123,-4.961154997978705,0.8364317395828204
McCourt20,150,30,-6.499013590036378,-3.337940394092123,-5.288169846221133,0.7438463443547643
McCourt20,200,30,-6.499013590036378,-4.160492260531219,-5.530883945170985,0.6056982468608972
McCourt20,250,30,-6.499013590036378,-4.323793278289721,-5.617566120118585,0.5086357287531351
McCourt20,500,30,-6.499013590036378,-4.88291183430199,-5.838832383002403,0.39641725570516284
McCourt20,1000,30,-6.499013590036378,-5.327734891209545,-6.010264786141267,0.2650938174419008
