function,max_iter,seed,min_fx,max_fx,avg_fx,std_fx
Schwefel36,50,30,-3454.7545349483876,-3260.079178785643,-3414.8053400186805,39.837440477174084
Schwefel36,75,30,-3454.917595204678,-3260.079178785643,-3426.227749218759,34.77015924078692
Schwefel36,100,30,-3455.0364920667744,-3389.6632176330945,-3433.893167089034,16.546936396987544
Schwefel36,150,30,-3455.9636394567337,-3401.1706943821723,-3439.781245911962,12.851708046666618
Schwefel36,200,30,-3455.9636394567337,-3401.1706943821723,-3440.1438451738536,13.201132046113049
Schwefel36,250,30,-3455.9636394567337,-3419.3459980614507,-3443.996288310365,9.064536284930348
Schwefel36,500,30,-3455.9636394567337,-3435.03611064803,-3450.4272349138146,5.841150022863929
Schwefel36,1000,30,-3455.9636394567337,-3445.767671103485,-3453.8933024421826,2.254551597849132
