function,max_iter,seed,min_fx,max_fx,avg_fx,std_fx
McCourt26,50,30,-1.5193869198348382,-0.8546657162536007,-1.337527293156636,0.15191320358216454
McCourt26,75,30,-1.5367189320435282,-1.105335585211793,-1.4105278666048304,0.07579414394661176
McCourt26,100,30,-1.5367189320435282,-1.3757686932965292,-1.4512083388407382,0.03500803200668429
McCourt26,150,30,-1.549787154934463,-1.4164569910473412,-1.4881687052344879,0.0326617045357701
McCourt26,200,30,-1.549787154934463,-1.4604800154538342,-1.5125333598108568,0.02277069229597782
McCourt26,250,30,-1.551646459829454,-1.4798152815294667,-1.5237711193361383,0.01817818784914074
McCourt26,500,30,-1.553471508880254,-1.5225358975490004,-1.537404895954114,0.014817053535493473
McCourt26,1000,30,-1.5534975417251538,-1.5238101455813555,-1.5376658233156015,0.014809162884270151
