function,max_iter,seed,min_fx,max_fx,avg_fx,std_fx
Schwefel36,50,30,-3455.983856427394,-3445.490726468937,-3453.6161038763635,2.5795948292279123
Schwefel36,75,30,-3455.983856427394,-3453.389194547716,-3455.5936323995843,0.6316518318412079
Schwefel36,100,30,-3455.9973101653422,-3455.6756252378277,-3455.944551710261,0.06332678118090876
Schwefel36,150,30,-3455.9999960302375,-3455.985467564648,-3455.99824031825,0.0031981210435316253
Schwefel36,200,30,-3455.999998960969,-3455.999424916993,-3455.9999349670015,0.0001145757821078226
Schwefel36,250,30,-3455.9999999986576,-3455.9999674369587,-3455.9999975399974,6.112619709767816e-06
Schwefel36,500,30,-3456.000000000001,-3455.999999999997,-3456.0,8.942079878126379e-13
Schwefel36,1000,30,-3456.000000000001,-3456.0000000000005,-3456.000000000001,1.8564982859236944e-13
