function,max_iter,seed,min_fx,max_fx,avg_fx,std_fx
McCourt23,50,30,-18.28330376199542,-17.90224403414912,-18.129010265275337,0.10726187833545753
McCourt23,75,30,-18.31384588197893,-18.040782405895133,-18.23446263317388,0.06153198171971134
McCourt23,100,30,-18.340145972337886,-18.20268331022532,-18.27572794189222,0.03334999350068028
McCourt23,150,30,-18.340145972337886,-18.27091636357204,-18.308354151939458,0.019177946355827303
McCourt23,200,30,-18.344170623427157,-18.29678171935202,-18.327958083826143,0.011060344510330456
McCourt23,250,30,-18.35156118857646,-18.30712331755226,-18.335721549932217,0.009966907421354301
McCourt23,500,30,-18.35713976676479,-18.349169700008687,-18.35551511372807,0.0017675521478748323
McCourt23,1000,30,-18.357500740279725,-18.357453680902854,-18.357488863076966,1.0340656476900463e-05
