function,max_iter,seed,min_fx,max_fx,avg_fx,std_fx
McCourt08,50,30,-3.443315216867166,-3.3724278858207315,-3.4206574447167193,0.020124961131704457
McCourt08,75,30,-3.451177724816257,-3.411796488957306,-3.437608047497882,0.011046624883397705
McCourt08,100,30,-3.4513903197053315,-3.4179226775320513,-3.4440917638283115,0.006053862144525151
McCourt08,150,30,-3.4515232890200616,-3.4403346487445186,-3.449102214506306,0.002659952801064823
McCourt08,200,30,-3.4517196582323164,-3.4475619732544676,-3.4504748847004576,0.0009578963162960451
McCourt08,250,30,-3.4517765632382185,-3.449705065084647,-3.4511477576377234,0.0005172934826949508
McCourt08,500,30,-3.451828516873867,-3.4513625554155136,-3.451655605162935,0.00013803604132414527
McCourt08,1000,30,-3.451852178182434,-3.451570864084224,-3.4517604817387384,7.396768822844136e-05
