function,max_iter,seed,min_fx,max_fx,avg_fx,std_fx
McCourt23,50,30,-18.321064096125404,-18.07082265517604,-18.231525525452504,0.06123996182510398
McCourt23,75,30,-18.34996639403658,-18.189105711381295,-18.276257425446495,0.040696657438157216
McCourt23,100,30,-18.34996639403658,-18.2086328585382,-18.302203952143728,0.02810544246037756
McCourt23,150,30,-18.34996639403658,-18.283378915276742,-18.31799000312228,0.01671871347934801
McCourt23,200,30,-18.35503950996549,-18.29979240057586,-18.32808558959175,0.013942102352085185
McCourt23,250,30,-18.355354680382323,-18.30913441091878,-18.334612719002404,0.01251667488645829
McCourt23,500,30,-18.35600064017233,-18.333781784132462,-18.34893649601046,0.00562161327445164
McCourt23,1000,30,-18.357262020440167,-18.349250082109602,-18.35433102574602,0.0017400875584250971
