function,max_iter,seed,min_fx,max_fx,avg_fx,std_fx
McCourt26,50,30,-1.4755389742832472,-1.1590597433005543,-1.38513250188068,0.07495524016128234
McCourt26,75,30,-1.5307747792665842,-1.3507595589523862,-1.4416001864281518,0.04403284276826161
McCourt26,100,30,-1.5307747792665842,-1.4021749223027138,-1.4576820312057626,0.032890508698586285
McCourt26,150,30,-1.5307747792665842,-1.411328886426792,-1.48696718065503,0.030494358380022277
McCourt26,200,30,-1.5308218615585116,-1.4590828226632113,-1.5033690631705967,0.01862188036224804
McCourt26,250,30,-1.5409397306229218,-1.4776590692034222,-1.512660592485002,0.017230766383843514
McCourt26,500,30,-1.5431293221368028,-1.4955173100414907,-1.5215829016301654,0.015758467590994665
McCourt26,1000,30,-1.5470982253191579,-1.495689542208963,-1.5254214372443822,0.014905495425157575
