function,max_iter,seed,min_fx,max_fx,avg_fx,std_fx
McCourt20,50,30,-6.416778011478941,-3.374221682392956,-5.138630364175642,0.7445903205641744
McCourt20,75,30,-6.416778011478941,-3.760297779459291,-5.395366258517866,0.7173229358499583
McCourt20,100,30,-6.492977957418694,-4.387486352063853,-5.6037269977464055,0.7212335222847271
McCourt20,150,30,-6.559624235116804,-4.559353525720333,-5.830037096270004,0.6864524262129539
McCourt20,200,30,-6.559624235116804,-4.559353525720333,-5.89408458281855,0.7086105415153461
McCourt20,250,30,-6.574924687649159,-4.6748561650405875,-5.943669715468102,0.7158192424756252
McCourt20,500,30,-6.574924687649159,-4.701029251288029,-5.998878307589019,0.6999386482262819
McCourt20,1000,30,-6.588749274716869,-4.7075676237346595,-6.0607485639902,0.6370253316616037
