function,max_iter,seed,min_fx,max_fx,avg_fx,std_fx
Shekel05,50,30,-6.6498567264678385,-0.4157531017158404,-1.130181372218255,1.109667331874445
Shekel05,75,30,-6.6498567264678385,-0.6228011040133347,-1.4980864754257042,1.0373727453661103
Shekel05,100,30,-6.6498567264678385,-1.159148044208895,-2.167217568747778,1.26219281901197
Shekel05,150,30,-6.911519024505024,-1.2369137900500364,-3.019167244845575,1.5725906386853852
Shekel05,200,30,-9.053179997518875,-1.4588037069303503,-3.8566863803130635,2.251396002416897
Shekel05,250,30,-9.18547329081498,-1.5426050152876427,-4.259408464651474,2.6236798219881425
Shekel05,500,30,-9.736088642660398,-1.721445886059116,-4.640249297751425,2.9612871197514417
Shekel05,1000,30,-9.736088642660398,-1.7305099629955898,-4.814096441919499,3.0901230870216767
