function,max_iter,seed,min_fx,max_fx,avg_fx,std_fx
McCourt09,50,30,-10.125234458143058,-8.640433503091485,-9.746170683480788,0.37361698509654645
McCourt09,75,30,-10.157733164252518,-9.477337332439788,-9.945360268904956,0.15816653701710576
McCourt09,100,30,-10.157733164252518,-9.597235638821987,-10.0500722208785,0.11264208893765852
McCourt09,150,30,-10.1611203213421,-10.010009801632023,-10.11586515291526,0.03841891259357469
McCourt09,200,30,-10.169128291782787,-10.044990073448865,-10.151223934935187,0.022878044296660516
McCourt09,250,30,-10.1703472816892,-10.141695079897062,-10.161670187564937,0.007143710134068701
McCourt09,500,30,-10.171216511875027,-10.160564980354954,-10.168156211169366,0.0025641900321554793
McCourt09,1000,30,-10.171242707046586,-10.167308328711567,-10.169605700298394,0.001186600952600699
